slug,nom_scientifique,ordre,famille,nom_commun,worms_aphia_id
abronica-cf-payaso,▪️ Abronica cf payaso,Aeolida,Facelinidae,,
actinocyclus-verrucosus,◽Actinocyclus verrucosus,Doridida,Actinocyclidae,,527814
aegires-cf-incusus,▫️Aegires cf incusus,Doridida,Aegiridae,,
aegires-exeches,▪️ Aegires exeches,Doridida,Aegiridae,,388696
aegires-pruvotfolae,▪️ Aegires pruvotfolae,Doridida,Aegiridae,,531078
aegires-sp.1,▪️ Aegires sp.1,Doridida,Aegiridae,,
aeolid-non-identifié-sp.4,▪️ Aeolid non identifié sp.4,Aeolida,,,sp_non_decrite
anaspidea-non-identifié-sp.1,▪️ Anaspidea non identifié sp.1,Aplysiida,,,sp_non_decrite
anteaeolidiella-sp.1,▪️ Anteaeolidiella sp.1,Aeolida,Aeolidiidae,,
aplustrum-amplustre,▪️ Aplustrum amplustre,Cephalaspidea,Aplustridae,,215418
aplysia-argus,▪️ Aplysia argus,Aplysiida,Aplysiidae,,730434
aplysia-cf-parvula,▪️ Aplysia cf parvula,Aplysiida,Aplysiidae,,
aplysia-sp.1,▪️ Aplysia sp.1,Aplysiida,Aplysiidae,,
ardeodoris-angustolutea,▪️ Ardeodoris angustolutea,Doridida,Chromodorididae,,597314
ardeodoris-sp.-1,Ardeodoris sp.1,Doridida,Chromodorididae,,
ardeodoris-sp.-2,▪️ Ardeodoris sp.2,Doridida,Chromodorididae,,
atagema-cf-osseosa,▪️ Atagema cf osseosa,Doridida,Discodorididae,,
atagema-sp.-3,Atagema sp. 3,Doridida,Discodorididae,,137659
atagema-sp.-4,▪️ Atagema sp. 4,Doridida,Discodorididae,,
atys-kuhnsi,▪️ Atys kuhnsi,Cephalaspidea,Haminoeidae,,
atys-multistriatus,▪️ Atys multistriatus,Cephalaspidea,Haminoeidae,,
atys-semistriatus,▪️ Atys semistriatus,Cephalaspidea,Haminoeidae,,1396825
atys-sp.1,▪️ Atys sp.1,Cephalaspidea,Haminoeidae,,
babakina-indopacifica,▪️ Babakina indopacifica,Aeolida,Babakinidae,,457532
baeolidia-scottjohnsoni,▪️ Baeolidia scottjohnsoni,Aeolida,Aeolidiidae,,
baeolidia-sp.1,▪️ Baeolidia sp.1,Aeolida,Aeolidiidae,,
bornella-pele,Bornella pele,Dendronotida,Bornellidae,,458160
berthella-stellata,Berthella stellata,Pleurobranchida,Pleurobranchidae,,140814
berthellina-delicata,Berthellina delicata,Pleurobranchida,Pleurobranchidae,,863427
berthelinia-cf-pseudochloris,▫️Berthelinia cf pseudochloris,Sacoglossa,Juliidae,,
berthella-sp.-1,Berthella sp. 1,Pleurobranchida,Pleurobranchidae,,138361
berthella-sp.-2,▪️ Berthella sp.2,Pleurobranchida,Pleurobranchidae,,
biuve-cf-fulvipunctata,Biuve cf fulvipunctata,Cephalaspidea,Aglajidae,,
biuve-sp.1,biuve-sp#1,Cephalaspidea,Aglajidae,,
bornella-stellifer,Bornella stellifer,Dendronotida,Bornellidae,,404964
bulbaeolidia-alba,Bulbaeolidia alba,Aeolida,Aeolidiidae,,730446
bulla-orientalis,Bulla orientalis,Cephalaspidea,Bullidae,,510402
bulla-vernicosa,▪️ Bulla vernicosa,Cephalaspidea,Bullidae,,510448
bullina-nobilis,Bullina lineata,Cephalaspidea,Aplustridae,,510952
bullina-sp.-1,Bullina sp.1,Cephalaspidea,Aplustridae,,204861
caloria-indica,Caloria indica,Aeolida,Facelinidae,,181240
caloria-sp.-1,Caloria sp. 1,Aeolida,Facelinidae,,137996
carminodoris-flammea,Carminodoris flammea,Doridida,Discodorididae,,872611
cephalopyge-trematoides,Cephalopyge trematoides,Dendronotida,Phylliroidae,,140776
ceratosoma-miamirana,Ceratosoma miamirana (Miamira miamirana),Doridida,Chromodorididae,,597463
cerberilla-albopuncata,Cerberilla albopunctata,Aeolida,,,599579
cerberilla-annulata,Cerberilla annulata,Aeolida,Aeolidiidae,,599580
cerberilla-sp.-1,Cerberilla sp. 1,Aeolida,Aeolidiidae,,137634
cerberilla-sp.-2,Cerberilla sp. 2,Aeolida,Aeolidiidae,,137634
chelidonura-alisonae,Chelidonura alisonae,Cephalaspidea,Aglajidae,,559045
chelidonura-hirundinina,▪️ Chelidonura hirundinina,Cephalaspidea,Aglajidae,Céphalaspide-sangsue,420528
chelidonura-sp.1,▪️ Chelidonura sp.1,Cephalaspidea,Aglajidae,,
chromodoris-aspersa,Chromodoris aspersa,Doridida,Chromodorididae,Doris aspergée,558319
chromodoris-lochi,Chromodoris lochi,Doridida,Chromodorididae,,558198
chromodoris-willani,Chromodoris willani,Doridida,Chromodorididae,Doris de Willan,558217
chromodoris-sp.-1,Chromodoris sp. 1,Doridida,Chromodorididae,,137782
chromodoris-sp.-4,Chromodoris sp. 4,Doridida,Chromodorididae,,137782
chromodoris-sp.-7,Chromodoris sp. 7,Doridida,Chromodorididae,,137782
colpodaspis-thompsoni,▪️ Colpodaspis thompsoni,Cephalaspidea,Colpodaspididae,,509679
costasiella-kuroshimae,Costasiella kuroshimae,Sacoglossa,Costasiellidae,,494655
costasiella-sp.-1,Costasiella sp. 1,Sacoglossa,Costasiellidae,,137845
costasiella-sp.-2,Costasiella sp. 2,Sacoglossa,Costasiellidae,,137845
costasiella-sp.-3,Costasiella sp. 3,Sacoglossa,Costasiellidae,,137845
costasiella-sp.-4,▪️ Costasiella sp. 4,Sacoglossa,Costasiellidae,,
costasiella-sp.-5,Costasiella sp. 5,Sacoglossa,Costasiellidae,,137845
cratena-affinis,▪️ Cratena affinis,Aeolida,Facelinidae,,
cratena-sp.-1,Cratena sp. 1,Aeolida,Facelinidae,,146861
cratena-sp.-2,Cratena sp.2,Aeolida,Facelinidae,,146861
crosslandia-sp.1,▪️ Crosslandia sp.1,Sacoglossa,Scyllaeidae,,
crosslandia-sp.2,▪️ Crosslandia sp.2,Sacoglossa,Scyllaeidae,,
cyerce-bourbonica,▪️ Cyerce bourbonica,Sacoglossa,Caliphyllidae,,599819
cyerce-elegans,Cyerce elegans,Sacoglossa,Caliphyllidae,,494512
cyerce-nigricans,Cyerce nigricans,Sacoglossa,Caliphyllidae,,494516
cyerce-pavonina,▪️ Cyerce Pavonina,Sacoglossa,Caliphyllidae,,494517
cyerce-sp.1,▪️ Cyerce sp.1,Sacoglossa,Caliphyllidae,,
cylindrobulla-sp.1,▪️ Cylindrobulla sp.1,Sacoglossa,Cylindrobullidae,,
cylindrobulla-sp.2,▪️ Cylindrobulla sp.2,Sacoglossa,Cylindrobullidae,,
cylindrobulla-sp.3,▪️ Cylindrobulla sp.3,Sacoglossa,Cylindrobullidae,,
dendrodoris-carbunculosa,Dendrodoris carbunculosa,Doridida,Dendrodorididae,,738443
dendrodoris-coronata,▪️ Dendrodoris coronata,Doridida,Dendrodorididae,,537018
dendrodoris-elongata,Dendrodoris elongata,Doridida,Dendrodorididae,,533873
dendrodoris-nigra,Dendrodoris nigra,Doridida,Dendrodorididae,,139519
dendrodoris-tuberculosa,Dendrodoris tuberculosa,Doridida,Dendrodorididae,,537016
dermatobranchus-fortunatus,▪️ Dermatobranchus fortunatus,Arminida,Arminidae,,558942
dermatobranchus-cf.-albus,▪️ Dermatobranchus cf. albus,Arminida,Arminidae,,
dermatobranchus-sp.-1,Dermatobranchus sp. 1,Arminida,Arminidae,,531811
diaphorodoris-sp.-1,▪️ Diaphorodoris sp.1,Doridida,Diaphorodorididae,,
diniatys-dentifer,Diniatys dentifer,Cephalaspidea,Haminoeidae,,599459
diniatys-dubius,Diniatys dubius,Cephalaspidea,Haminoeidae,,599460
discodorid-sp.-1-non-identifié,Discodorid 1 non identifié,Doridida,Discodorididae,,
discodorid-sp.-2-non-identifié,Discodorid 2 non identifié,Doridida,Discodorididae,,
discodorid-sp.-3-non-identifié,Discodorid 3 non identifié,Doridida,Discodorididae,,
discodorid-sp.-4-non-identifié,Discodorid 4 non identifié,Doridida,Discodorididae,,
discodorid-sp.-5-non-identifié,▪️ Discodorid sp.5 non identifié,Doridida,Discodorididae,,
discodorid-sp.-6-non-identifié,▪️ Discodorid sp.6 non identifié,Doridida,Discodorididae,,
discodorid-sp.-7-non-identifié,▪️ Discodorid sp.7 non identifié,Doridida,Discodorididae,,
discodorid-sp.-8-non-identifié,▪️ Discodorid sp.8 non identifié,Doridida,Discodorididae,,
discodorid-sp.-9-non-identifié,▪️ Discodorid sp.9 non identifié,Doridida,Discodorididae,,
discodorid-sp.-10-non-identifié,▪️ Discodorid sp.10 non identifié,Doridida,Discodorididae,,
discodorid-sp.-11-non-identifié,▪️ Discodorid sp.11 non identifié,Doridida,Discodorididae,,
discodorid-sp.-12-non-identifié,▪️ Discodorid sp.12 non identifié,Doridida,Discodorididae,,
discodorid-sp.-13-non-identifié,▪️ Discodorid sp.13 non identifié,Doridida,Discodorididae,,
diversidoris-flava,Diversidoris flava,Doridida,Chromodorididae,,866662
dolabella-auricularia,Dolabella auricularia,Aplysiida,Aplysiidae,,138754
dolabrifera-cf-dolabrifera,Dolabrifera cf dolabrifera,Aplysiida,Dolabriferidae,,
dorid-non-identifié-sp.-1,▪️ Dorid non identifié sp.1,Doridida,,,
dorid-non-identifié-sp.-2,▪️ Dorid non identifié sp.2,Doridida,,,
doris-granulosa,▪️ Doris granulosa,Doridida,Dorididae,,139622
doris-pecten,Doris pecten,Doridida,Dorididae,,139623
doris-sp.-1,▪️ Doris sp.1,Doridida,Dorididae,,
doris-viridis,▫️Doris viridis,Doridida,Dorididae,,
doriprimatica-sibogae,Doriprismatica sibogae,Doridida,Chromodorididae,,558665
doto-sp.-1,▪️ Doto sp.1,Dendronotida,Dotidae,,
elysia-degeneri,▪️ Elysia degeneri,Sacoglossa,Plakobranchidae,,494438
elysia-nealae,▪️ Elysia nealae,Sacoglossa,Plakobranchidae,,494460
elysia-nigropunctata,Elysia nigropunctata,Sacoglossa,Plakobranchidae,,494437
elysia-marginata,Elysia marginata,Sacoglossa,Plakobranchidae,,494451
elysia-obtusa,▪️ Elysia obtusa,Sacoglossa,Plakobranchidae,,494445
elysia-pusilla,Elysia pusilla,Sacoglossa,Plakobranchidae,,494435
elysia-rufescens,Elysia rufescens,Sacoglossa,Plakobranchidae,,494452
elysia-tomentosa,▫️ Elysia tomentosa,Sacoglossa,Plakobranchidae,,494439
elysia-sp.-1,Elysia sp. 1,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-2,Elysia sp. 2,Sacoglossa,Plakobranchidae,,137928
elysia-sp.-3,Elysia sp. 3,Sacoglossa,Plakobranchidae,,137928
